,French,English
0,chercher,search
1,seulement,only
2,police,police
3,aide,help
4,demande,request
5,genre,kind
6,mois,month
7,frère,brother
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,chaque,each
13,parlé,speak
14,bébé,baby
15,longtemps,long time
16,heures,hours
17,vont,will
18,revoir,meet again
19,aucune,any
20,parle,speak
21,compris,understood
22,savais,knew
23,étaient,were
24,pourrais,could
25,affaire,case
26,donner,give
27,type,type
28,leurs,their
29,donné,given
30,train,train
31,endroit,place
32,dont,whose
33,trouve,find
34,premier,first
35,perdu,lost
36,main,hand
37,vieux,old
38,sois,be
39,tiens,here
40,point,point
41,venu,came
42,suite,after
43,pardon,sorry
44,venez,come
45,devant,in front of
46,vers,towards
47,minutes,minutes
48,demandé,request
49,chambre,bedroom
50,mis,placed
51,belle,beautiful
52,droit,law
53,aimerais,would like to
54,mari,husband
55,cause,cause
56,espère,hope
57,attendez,Wait
58,parti,left
59,nouvelle,new
60,boulot,job
61,arrêter,Stop
62,dirait,would say
63,terre,Earth
64,compte,account
65,loin,far
66,fin,end
67,croire,believe
68,chérie,sweetheart
69,plutôt,rather
70,aura,will have
71,filles,girls
